VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type
1,09/24/2018 12:12:55 AM,09/24/2018 12:19:59 AM,N,1,65,25,1,1.1,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
1,09/24/2018 12:13:00 AM,09/24/2018 12:37:04 AM,N,1,41,92,1,9.9,30.5,0.5,0.5,0,0,,0.3,31.8,2,1
2,09/24/2018 12:13:01 AM,09/24/2018 12:21:34 AM,N,1,82,157,1,1.66,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,09/24/2018 12:13:08 AM,09/24/2018 12:18:33 AM,N,1,129,260,1,0.82,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,09/24/2018 12:13:40 AM,09/24/2018 12:16:23 AM,N,1,223,223,1,0.76,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,09/24/2018 12:14:06 AM,09/24/2018 12:18:50 AM,N,1,129,129,1,0.72,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,09/24/2018 12:14:07 AM,09/24/2018 12:24:07 AM,N,1,66,189,1,2.04,9,0.5,0.5,3.09,0,,0.3,13.39,1,1
2,09/24/2018 12:14:08 AM,09/24/2018 12:20:21 AM,N,1,242,208,1,1.69,7.5,0.5,0.5,0,0,,0.3,8.8,1,1
2,09/24/2018 12:14:08 AM,09/24/2018 12:18:28 AM,N,1,41,42,5,1.22,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,09/24/2018 12:14:14 AM,09/24/2018 12:17:59 AM,N,1,42,42,1,0.74,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,09/24/2018 12:14:32 AM,09/24/2018 12:31:08 AM,N,1,66,255,1,3.77,14.5,0.5,0.5,0,0,,0.3,15.8,2,1
2,09/24/2018 12:14:42 AM,09/24/2018 12:18:01 AM,N,1,244,116,1,0.85,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,09/24/2018 12:14:42 AM,09/24/2018 12:16:56 AM,N,1,74,75,1,0.63,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,09/24/2018 12:14:51 AM,09/24/2018 12:32:06 AM,N,1,41,243,1,3.75,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,09/24/2018 12:14:57 AM,09/24/2018 12:18:31 AM,N,1,193,193,1,0,4,0.5,0.5,1.59,0,,0.3,6.89,1,1
2,09/24/2018 12:15:01 AM,09/24/2018 12:26:08 AM,N,1,260,129,1,1.33,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,09/24/2018 12:15:09 AM,09/24/2018 12:22:27 AM,N,1,42,75,1,0,6,0.5,0.5,1,0,,0.3,8.3,1,1
2,09/24/2018 12:15:10 AM,09/24/2018 12:22:29 AM,N,1,7,83,1,2.61,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,09/24/2018 12:15:22 AM,09/24/2018 12:30:22 AM,N,1,188,80,1,3.98,14.5,0.5,0.5,0,0,,0.3,15.8,1,1
2,09/24/2018 12:15:25 AM,09/24/2018 12:22:24 AM,N,1,95,135,1,2.44,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,09/24/2018 12:15:35 AM,09/24/2018 12:19:43 AM,N,1,255,148,1,2.01,7.5,0.5,0.5,2,0,,0.3,10.8,1,1
2,09/24/2018 12:15:46 AM,09/24/2018 12:23:09 AM,N,1,255,49,1,2.06,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,09/24/2018 12:15:53 AM,09/24/2018 12:17:48 AM,N,1,225,225,1,0.43,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
1,09/24/2018 12:15:59 AM,09/24/2018 12:18:38 AM,N,1,97,49,1,0.9,4.5,0.5,0.5,1.15,0,,0.3,6.95,1,1
2,09/24/2018 12:15:59 AM,09/24/2018 12:31:53 AM,N,1,223,252,1,7.16,21.5,0.5,0.5,0,0,,0.3,22.8,2,1
2,09/24/2018 12:16:03 AM,09/24/2018 12:23:14 AM,N,1,112,80,1,1.28,7,0.5,0.5,1.66,0,,0.3,9.96,1,1
1,09/24/2018 12:16:16 AM,09/24/2018 12:24:25 AM,N,1,244,235,1,3.1,11,1,0.5,0.09,0,,0.3,12.89,1,1
2,09/24/2018 12:16:32 AM,09/24/2018 12:23:49 AM,N,1,255,80,1,1.49,7.5,0.5,0.5,3,0,,0.3,11.8,1,1
2,09/24/2018 12:16:43 AM,09/24/2018 12:31:24 AM,N,1,80,198,5,5.03,16,0.5,0.5,3.46,0,,0.3,20.76,1,1
2,09/24/2018 12:16:49 AM,09/24/2018 12:40:40 AM,N,1,66,37,1,4.57,18.5,0.5,0.5,0,0,,0.3,19.8,2,1
2,09/24/2018 12:16:56 AM,09/24/2018 12:22:59 AM,N,1,82,173,1,1.35,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,09/24/2018 12:17:45 AM,09/24/2018 12:23:19 AM,N,1,95,102,1,1.37,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,09/24/2018 12:17:46 AM,09/24/2018 12:28:17 AM,N,1,41,243,1,4.79,15.5,0.5,0.5,3.36,0,,0.3,20.16,1,1
2,09/24/2018 12:17:54 AM,09/24/2018 12:26:43 AM,N,1,134,216,1,3.58,12,0.5,0.5,0,0,,0.3,13.3,1,1
2,09/24/2018 12:17:56 AM,09/24/2018 12:25:05 AM,N,1,7,260,1,1.69,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,09/24/2018 12:17:56 AM,09/24/2018 12:30:26 AM,N,1,256,225,1,1.67,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,09/24/2018 12:18:17 AM,09/24/2018 12:23:42 AM,N,1,83,82,2,0.96,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1
2,09/24/2018 12:18:20 AM,09/24/2018 12:22:35 AM,N,1,82,196,1,0.63,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,09/24/2018 12:18:52 AM,09/24/2018 12:34:43 AM,N,1,66,17,1,3.65,14.5,0.5,0.5,3.16,0,,0.3,18.96,1,1
1,09/24/2018 12:18:54 AM,09/24/2018 12:24:35 AM,N,1,181,61,1,1.6,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,09/24/2018 12:19:13 AM,09/24/2018 12:29:53 AM,N,1,255,148,1,2.49,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,09/24/2018 12:19:16 AM,09/24/2018 12:25:05 AM,N,1,130,215,1,1.78,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1
1,09/24/2018 12:19:17 AM,09/24/2018 12:24:32 AM,N,1,61,225,1,1.5,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
1,09/24/2018 12:19:20 AM,09/24/2018 12:31:31 AM,N,1,255,25,1,4.1,14.5,0.5,0.5,2,0,,0.3,17.8,1,1
2,09/24/2018 12:19:27 AM,09/24/2018 12:24:59 AM,N,1,130,130,1,1.11,6,0.5,0.5,3,0,,0.3,10.3,1,1
2,09/24/2018 12:19:34 AM,09/24/2018 12:24:36 AM,N,1,190,61,1,1.56,6.5,0.5,0.5,1,0,,0.3,8.8,1,1
2,09/24/2018 12:19:34 AM,09/24/2018 12:31:14 AM,N,1,112,226,1,2.29,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,09/24/2018 12:19:42 AM,09/24/2018 12:29:25 AM,N,1,66,195,1,2.08,9,0.5,0.5,0,0,,0.3,10.3,2,1
1,09/24/2018 12:19:45 AM,09/24/2018 12:30:33 AM,N,1,244,247,1,1.8,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,09/24/2018 12:19:45 AM,09/24/2018 12:27:26 AM,N,1,82,93,1,1.17,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,09/24/2018 12:19:49 AM,09/25/2018 12:13:04 AM,N,1,17,113,1,5.23,19,0.5,0.5,0,0,,0.3,20.3,2,1
2,09/24/2018 12:19:54 AM,09/24/2018 12:30:19 AM,N,1,74,167,1,2.57,10.5,0.5,0.5,0,0,,0.3,11.8,1,1
2,09/24/2018 12:20:06 AM,09/24/2018 12:23:18 AM,N,1,255,256,1,0.9,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,09/24/2018 12:20:11 AM,09/24/2018 12:27:42 AM,N,1,95,102,1,1.3,7,0.5,0.5,1,0,,0.3,9.3,1,1
2,09/24/2018 12:20:15 AM,09/24/2018 12:27:34 AM,N,1,7,129,1,2.65,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,09/24/2018 12:20:20 AM,09/24/2018 12:25:46 AM,N,1,43,262,1,1.04,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,09/24/2018 12:20:27 AM,09/24/2018 12:23:41 AM,N,1,116,116,2,0.64,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,09/24/2018 12:20:33 AM,09/24/2018 12:34:19 AM,N,1,7,82,2,2.71,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,09/24/2018 12:20:38 AM,09/24/2018 12:24:30 AM,N,1,193,193,1,0.7,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,09/24/2018 12:20:39 AM,09/24/2018 12:24:41 AM,N,1,212,182,1,0.82,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,09/24/2018 12:20:56 AM,09/24/2018 12:26:46 AM,N,1,42,152,1,1.02,6,0.5,0.5,0,0,,0.3,7.3,1,1
2,09/24/2018 12:21:02 AM,09/24/2018 12:27:07 AM,N,1,74,41,1,0.85,6,0.5,0.5,0,0,,0.3,7.3,1,1
2,09/24/2018 12:21:05 AM,09/24/2018 12:32:28 AM,N,1,127,116,1,4.15,14.5,0.5,0.5,0,0,,0.3,15.8,1,1
2,09/24/2018 12:21:05 AM,09/24/2018 12:38:14 AM,N,1,226,170,1,4.36,16.5,0.5,0.5,0,0,,0.3,17.8,2,1
2,09/24/2018 12:21:23 AM,09/24/2018 12:38:10 AM,N,1,166,161,2,5.48,17.5,0.5,0.5,0,0,,0.3,18.8,2,1
2,09/24/2018 12:21:36 AM,09/24/2018 12:28:26 AM,N,1,129,129,1,0,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,09/24/2018 12:21:44 AM,09/24/2018 12:26:44 AM,N,1,223,223,1,0.86,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
1,09/24/2018 12:21:46 AM,09/24/2018 12:24:22 AM,N,1,40,181,1,0.7,4,0.5,0.5,1.3,0,,0.3,6.6,1,1
2,09/24/2018 12:21:49 AM,09/24/2018 12:32:58 AM,N,1,260,7,1,2.36,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,09/24/2018 12:21:53 AM,09/24/2018 12:30:01 AM,N,1,80,112,1,1.54,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
1,09/24/2018 12:22:23 AM,09/24/2018 12:27:40 AM,N,1,7,7,1,0.9,6,0.5,0.5,1.45,0,,0.3,8.75,1,1
2,09/24/2018 12:22:52 AM,09/24/2018 12:26:29 AM,N,1,7,179,4,0.66,4.5,0.5,0.5,1.45,0,,0.3,7.25,1,1
2,09/24/2018 12:23:00 AM,09/24/2018 12:47:00 AM,N,1,33,162,1,9.51,28.5,0.5,0.5,0,0,,0.3,29.8,2,1
2,09/24/2018 12:23:01 AM,09/24/2018 12:27:20 AM,N,1,95,95,1,0.05,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,09/24/2018 12:23:12 AM,09/24/2018 12:28:07 AM,N,1,166,238,1,1.36,6,0.5,0.5,0,0,,0.3,7.3,2,1
1,09/24/2018 12:23:34 AM,09/24/2018 12:36:58 AM,N,1,74,7,1,4.4,15,0.5,0.5,0,5.76,,0.3,22.06,2,1
2,09/24/2018 12:23:37 AM,09/24/2018 12:41:59 AM,N,1,181,4,5,7.23,22.5,0.5,0.5,4.76,0,,0.3,30.51,1,1
1,09/24/2018 12:24:03 AM,09/24/2018 12:28:18 AM,N,1,82,129,1,0.5,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,09/24/2018 12:24:50 AM,09/24/2018 12:28:12 AM,N,1,7,7,1,0.65,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,09/24/2018 12:25:17 AM,09/24/2018 12:31:39 AM,N,1,41,42,1,1.53,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,09/24/2018 12:25:21 AM,09/24/2018 12:25:24 AM,N,5,33,33,1,0,6,0,0,0,0,,0,6,2,2
2,09/24/2018 12:25:26 AM,09/24/2018 12:39:33 AM,N,1,74,142,2,3.89,14,0.5,0.5,3.06,0,,0.3,18.36,1,1
2,09/24/2018 12:25:56 AM,09/24/2018 12:43:08 AM,N,1,7,193,1,3.97,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,09/24/2018 12:25:56 AM,09/24/2018 12:30:23 AM,N,1,82,82,1,0.95,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,09/24/2018 12:25:57 AM,09/24/2018 12:43:53 AM,N,1,42,45,1,10.12,29,0.5,0.5,0,0,,0.3,30.3,1,1
2,09/24/2018 12:26:06 AM,09/24/2018 12:35:08 AM,N,1,74,151,2,2.66,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,09/24/2018 12:26:12 AM,09/24/2018 12:40:07 AM,N,1,80,226,1,3.72,14,0.5,0.5,0,0,,0.3,15.3,2,1
2,09/24/2018 12:26:16 AM,09/24/2018 12:38:55 AM,N,1,74,179,1,4.36,14.5,0.5,0.5,4.31,5.76,,0.3,25.87,1,1
2,09/24/2018 12:26:17 AM,09/24/2018 12:36:04 AM,N,1,82,129,1,3.4,12,0.5,0.5,0,0,,0.3,13.3,2,1
2,09/24/2018 12:26:19 AM,09/24/2018 12:30:15 AM,N,1,173,82,1,0.67,4.5,0.5,0.5,2,0,,0.3,7.8,1,1
2,09/24/2018 12:26:19 AM,09/24/2018 12:33:30 AM,N,1,95,56,6,1.57,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,09/24/2018 12:26:21 AM,09/24/2018 12:43:32 AM,N,1,255,249,1,4.46,16,0.5,0.5,0,0,,0.3,17.3,2,1
2,09/24/2018 12:26:30 AM,09/24/2018 12:39:31 AM,N,1,116,243,2,2.67,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
2,09/24/2018 12:26:35 AM,09/24/2018 12:38:39 AM,N,1,223,146,1,2.41,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,09/24/2018 12:26:37 AM,09/24/2018 12:31:30 AM,N,1,146,179,2,1.33,6.5,0.5,0.5,0,0,,0.3,7.8,1,1
